Neighbor ID     Pri   State           Dead Time   Address         Interface
10.0.0.2        1     FULL/DR         00:00:38    192.168.1.2     GigabitEthernet0/0
10.0.0.3        1     FULL/BDR        00:00:35    192.168.1.3     GigabitEthernet0/1
10.0.0.4        1     2WAY/DROTHER    00:00:40    192.168.1.4     GigabitEthernet0/2
10.0.0.5        0     DOWN/-          00:00:00    192.168.1.5     GigabitEthernet0/3
10.0.0.6        1     FULL/DR         00:00:37    192.168.1.6     GigabitEthernet0/4
10.0.0.7        1     FULL/BDR        00:00:36    192.168.1.7     GigabitEthernet0/5
10.0.0.8        1     2WAY/DROTHER    00:00:39    192.168.1.8     GigabitEthernet0/6
10.0.0.9        1     FULL/DR         00:00:38    192.168.1.9     GigabitEthernet0/7
10.0.0.10       0     DOWN/-          00:00:00    192.168.1.10    GigabitEthernet0/8
10.0.0.11       1     FULL/BDR        00:00:35    192.168.1.11    GigabitEthernet0/9
